amr gpu matrix
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.189 ms


lbase = 4, best kernel block size: 32
lbase = 4, Same time. Min block: 32, max block: 512
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.189 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms
block_size = 32, time: 0.188 ms


lbase = 5, best kernel block size: 32
lbase = 5, Same time. Min block: 32, max block: 512
block_size = 32, time: 0.195 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.194 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.194 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.194 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.194 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.194 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.194 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.194 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.192 ms


lbase = 6, best kernel block size: 32
lbase = 6, Same time. Min block: 32, max block: 512
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.541 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.543 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.537 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.541 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.537 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.535 ms
block_size = 32, time: 0.542 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.537 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.537 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.541 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.537 ms
block_size = 32, time: 0.54 ms


lbase = 7, best kernel block size: 128
block_size = 128, time: 3.469 ms
block_size = 128, time: 3.476 ms
block_size = 128, time: 3.471 ms
block_size = 128, time: 3.481 ms
block_size = 128, time: 3.47 ms
block_size = 128, time: 3.473 ms
block_size = 128, time: 3.462 ms
block_size = 128, time: 3.473 ms
block_size = 128, time: 3.473 ms
block_size = 128, time: 3.475 ms
block_size = 128, time: 3.47 ms
block_size = 128, time: 3.47 ms
block_size = 128, time: 3.48 ms
block_size = 128, time: 3.474 ms
block_size = 128, time: 3.472 ms
block_size = 128, time: 3.469 ms
block_size = 128, time: 3.473 ms
block_size = 128, time: 3.475 ms
block_size = 128, time: 3.471 ms
block_size = 128, time: 3.474 ms
block_size = 128, time: 3.472 ms
block_size = 128, time: 3.473 ms
block_size = 128, time: 3.473 ms
block_size = 128, time: 3.471 ms
block_size = 128, time: 3.469 ms
block_size = 128, time: 3.479 ms
block_size = 128, time: 3.472 ms
block_size = 128, time: 3.462 ms
block_size = 128, time: 3.465 ms
block_size = 128, time: 3.468 ms
block_size = 128, time: 3.467 ms
block_size = 128, time: 3.483 ms
block_size = 128, time: 3.477 ms
block_size = 128, time: 3.478 ms
block_size = 128, time: 3.461 ms
block_size = 128, time: 3.47 ms
block_size = 128, time: 3.469 ms
block_size = 128, time: 2.594 ms
block_size = 128, time: 1.902 ms
block_size = 128, time: 1.903 ms
block_size = 128, time: 1.898 ms
block_size = 128, time: 1.938 ms
block_size = 128, time: 1.965 ms
block_size = 128, time: 1.968 ms
block_size = 128, time: 1.963 ms
block_size = 128, time: 1.96 ms
block_size = 128, time: 1.97 ms
block_size = 128, time: 1.966 ms
block_size = 128, time: 1.967 ms
block_size = 128, time: 1.965 ms


