amr gpu hashtable
Making base grid
Number of underlying values inserted: 64
Number of keys inserted: 64
Calculating gradients
0 ms
GPU hashmap num_keys 64
GPU [0, 3, 3](L=2)[0.00, 0.05, -0.05, -0.05](Leaf=1)
GPU [3, 3, 1](L=2)[0.02, -28.20, -28.20, 0.05](Leaf=1)
GPU [1, 1, 3](L=2)[11.76, 23.48, 23.48, -14608.23](Leaf=1)
GPU [2, 0, 2](L=2)[11.76, -23.48, 14608.23, -23.48](Leaf=1)
GPU [0, 0, 0](L=2)[0.00, 0.05, 0.05, 0.05](Leaf=1)
GPU [3, 1, 2](L=2)[11.76, -14608.23, 23.48, -23.48](Leaf=1)
GPU [3, 3, 2](L=2)[0.02, -28.20, -28.20, -0.05](Leaf=1)
GPU [2, 0, 0](L=2)[0.02, -0.05, 28.20, 28.20](Leaf=1)
GPU [1, 0, 0](L=2)[0.02, 0.05, 28.20, 28.20](Leaf=1)
GPU [1, 3, 2](L=2)[11.76, 23.48, -14608.23, -23.48](Leaf=1)
GPU [3, 2, 1](L=2)[11.76, -14608.23, -23.48, 23.48](Leaf=1)
GPU [0, 2, 2](L=2)[11.76, 14608.23, -23.48, -23.48](Leaf=1)
GPU [2, 3, 2](L=2)[11.76, -23.48, -14608.23, -23.48](Leaf=1)
GPU [2, 2, 3](L=2)[11.76, -23.48, -23.48, -14608.23](Leaf=1)
GPU [3, 3, 0](L=2)[0.00, -0.05, -0.05, 0.05](Leaf=1)
GPU [3, 1, 1](L=2)[11.76, -14608.23, 23.48, 23.48](Leaf=1)
GPU [1, 3, 3](L=2)[0.02, 0.05, -28.20, -28.20](Leaf=1)
GPU [3, 0, 2](L=2)[0.02, -28.20, 28.20, -0.05](Leaf=1)
GPU [3, 2, 3](L=2)[0.02, -28.20, -0.05, -28.20](Leaf=1)
GPU [0, 2, 3](L=2)[0.02, 28.20, -0.05, -28.20](Leaf=1)
GPU [1, 1, 2](L=2)[6093.30, 12163.07, 12163.07, -12163.07](Leaf=1)
GPU [0, 3, 0](L=2)[0.00, 0.05, -0.05, 0.05](Leaf=1)
GPU [2, 1, 1](L=2)[6093.30, -12163.07, 12163.07, 12163.07](Leaf=1)
GPU [2, 2, 0](L=2)[11.76, -23.48, -23.48, 14608.23](Leaf=1)
GPU [2, 0, 3](L=2)[0.02, -0.05, 28.20, -28.20](Leaf=1)
GPU [2, 1, 0](L=2)[11.76, -23.48, 23.48, 14608.23](Leaf=1)
GPU [0, 1, 2](L=2)[11.76, 14608.23, 23.48, -23.48](Leaf=1)
GPU [1, 1, 0](L=2)[11.76, 23.48, 23.48, 14608.23](Leaf=1)
GPU [3, 2, 2](L=2)[11.76, -14608.23, -23.48, -23.48](Leaf=1)
GPU [0, 1, 1](L=2)[11.76, 14608.23, 23.48, 23.48](Leaf=1)
GPU [1, 2, 2](L=2)[6093.30, 12163.07, -12163.07, -12163.07](Leaf=1)
GPU [2, 1, 3](L=2)[11.76, -23.48, 23.48, -14608.23](Leaf=1)
GPU [3, 0, 1](L=2)[0.02, -28.20, 28.20, 0.05](Leaf=1)
GPU [2, 3, 1](L=2)[11.76, -23.48, -14608.23, 23.48](Leaf=1)
GPU [2, 2, 2](L=2)[6093.30, -12163.07, -12163.07, -12163.07](Leaf=1)
GPU [2, 2, 1](L=2)[6093.30, -12163.07, -12163.07, 12163.07](Leaf=1)
GPU [0, 1, 0](L=2)[0.02, 28.20, 0.05, 28.20](Leaf=1)
GPU [0, 3, 2](L=2)[0.02, 28.20, -28.20, -0.05](Leaf=1)
GPU [0, 0, 2](L=2)[0.02, 28.20, 28.20, -0.05](Leaf=1)
GPU [1, 1, 1](L=2)[6093.30, 12163.07, 12163.07, 12163.07](Leaf=1)
GPU [3, 2, 0](L=2)[0.02, -28.20, -0.05, 28.20](Leaf=1)
GPU [3, 1, 3](L=2)[0.02, -28.20, 0.05, -28.20](Leaf=1)
GPU [3, 1, 0](L=2)[0.02, -28.20, 0.05, 28.20](Leaf=1)
GPU [1, 3, 0](L=2)[0.02, 0.05, -28.20, 28.20](Leaf=1)
GPU [2, 3, 3](L=2)[0.02, -0.05, -28.20, -28.20](Leaf=1)
GPU [1, 3, 1](L=2)[11.76, 23.48, -14608.23, 23.48](Leaf=1)
GPU [0, 1, 3](L=2)[0.02, 28.20, 0.05, -28.20](Leaf=1)
GPU [1, 2, 0](L=2)[11.76, 23.48, -23.48, 14608.23](Leaf=1)
GPU [1, 0, 3](L=2)[0.02, 0.05, 28.20, -28.20](Leaf=1)
GPU [3, 3, 3](L=2)[0.00, -0.05, -0.05, -0.05](Leaf=1)
GPU [0, 0, 3](L=2)[0.00, 0.05, 0.05, -0.05](Leaf=1)
GPU [2, 0, 1](L=2)[11.76, -23.48, 14608.23, 23.48](Leaf=1)
GPU [1, 0, 1](L=2)[11.76, 23.48, 14608.23, 23.48](Leaf=1)
GPU [3, 0, 0](L=2)[0.00, -0.05, 0.05, 0.05](Leaf=1)
GPU [2, 1, 2](L=2)[6093.30, -12163.07, 12163.07, -12163.07](Leaf=1)
GPU [2, 3, 0](L=2)[0.02, -0.05, -28.20, 28.20](Leaf=1)
GPU [1, 0, 2](L=2)[11.76, 23.48, 14608.23, -23.48](Leaf=1)
GPU [1, 2, 1](L=2)[6093.30, 12163.07, -12163.07, 12163.07](Leaf=1)
GPU [3, 0, 3](L=2)[0.00, -0.05, 0.05, -0.05](Leaf=1)
GPU [0, 0, 1](L=2)[0.02, 28.20, 28.20, 0.05](Leaf=1)
GPU [0, 2, 0](L=2)[0.02, 28.20, -0.05, 28.20](Leaf=1)
GPU [0, 3, 1](L=2)[0.02, 28.20, -28.20, 0.05](Leaf=1)
GPU [1, 2, 3](L=2)[11.76, 23.48, -23.48, -14608.23](Leaf=1)
GPU [0, 2, 1](L=2)[11.76, 14608.23, -23.48, 23.48](Leaf=1)
