lbase = 2, best kernel block size: 256
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.194 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.194 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.194 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.194 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.192 ms
block_size = 32, time: 0.193 ms
block_size = 32, time: 0.192 ms


lbase = 6, best kernel block size: 32
lbase = 6, Same time. Min block: 32, max block: 512
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.537 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.537 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.536 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.541 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.541 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.541 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.537 ms
block_size = 32, time: 0.536 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.536 ms
block_size = 32, time: 0.539 ms
block_size = 32, time: 0.541 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.535 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.538 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.54 ms
block_size = 32, time: 0.538 ms


lbase = 7, best kernel block size: 128
block_size = 128, time: 3.471 ms
block_size = 128, time: 3.481 ms
block_size = 128, time: 3.475 ms
block_size = 128, time: 3.472 ms
block_size = 128, time: 3.489 ms
block_size = 128, time: 3.467 ms
block_size = 128, time: 3.469 ms
block_size = 128, time: 3.467 ms
block_size = 128, time: 3.47 ms
block_size = 128, time: 3.464 ms
block_size = 128, time: 3.475 ms
block_size = 128, time: 3.471 ms
block_size = 128, time: 3.467 ms
block_size = 128, time: 3.468 ms
block_size = 128, time: 3.472 ms
block_size = 128, time: 3.469 ms
block_size = 128, time: 3.471 ms
block_size = 128, time: 3.466 ms
block_size = 128, time: 3.472 ms
block_size = 128, time: 3.471 ms
block_size = 128, time: 3.478 ms
block_size = 128, time: 3.47 ms
block_size = 128, time: 3.478 ms
block_size = 128, time: 3.472 ms
block_size = 128, time: 3.458 ms
block_size = 128, time: 3.475 ms
block_size = 128, time: 3.479 ms
block_size = 128, time: 3.466 ms
block_size = 128, time: 3.466 ms
block_size = 128, time: 3.468 ms
block_size = 128, time: 3.469 ms
block_size = 128, time: 3.477 ms
block_size = 128, time: 3.478 ms
block_size = 128, time: 3.461 ms
block_size = 128, time: 2.547 ms
block_size = 128, time: 1.9 ms
block_size = 128, time: 1.904 ms
block_size = 128, time: 1.897 ms
block_size = 128, time: 1.9 ms
block_size = 128, time: 1.902 ms
block_size = 128, time: 1.902 ms
block_size = 128, time: 1.913 ms
block_size = 128, time: 1.918 ms
block_size = 128, time: 1.92 ms
block_size = 128, time: 1.925 ms
block_size = 128, time: 1.917 ms
block_size = 128, time: 1.919 ms
block_size = 128, time: 1.922 ms
block_size = 128, time: 1.919 ms
block_size = 128, time: 1.925 ms


